Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Radagon of the Golden Order (from Elden Ring)","Geoffplaysguitar","Radagon of the Golden Order (from Elden Ring)","Brani Preferiti Pubblici","Playlist","QZDA42365631","7vMOm2qAXeD5EiTiigtMbD"
"The Darkness Overtakes","DanielFromSalem","The Darkness Overtakes","Brani Preferiti Pubblici","Playlist","GX89G2358991","3DTAl94NTEJlmEfPu2wMEs"
"Fight Theme EP1 (From 'Chainsaw Man') - Remake Version","D.Meletis","Fight Theme EP1 (From 'Chainsaw Man') [Remake Version]","Brani Preferiti Pubblici","Playlist","GBLLT2247930","6DzzBtouAJ6rHT7Bx2eCfh"
"Doflamingo Theme - From ""One Piece""","Gabriele Motta","Doflamingo Theme (From ""One Piece"")","Brani Preferiti Pubblici","Playlist","FR59R2365297","4Yfuum9nAouZxDHFZGaLNa"
"Exodus - Dark Edition","Robert Slump","Exodus (Dark Edition)","Brani Preferiti Pubblici","Playlist","GX3Q92367735","6PDU6vluxfwzGuYPy6cdAF"
"Maximum Attack - From ""Baki""","Gabriele Motta","Maximum Attack (From ""Baki"")","Brani Preferiti Pubblici","Playlist","FRX282212913","4zwhtNApDCfzLCYUkDiySr"
"Zenitsu vs Spider - From ""Demon Slayer""","Gabriele Motta","Zenitsu vs Spider (From ""Demon Slayer"")","Brani Preferiti Pubblici","Playlist","FR59R2398268","7cqhFP6WvMbCmRVoGk4UKI"
"Urarh","The Last Bear Ender","The Second Year Ender","Brani Preferiti Pubblici","Playlist","usl4r2119909","49SfCPARkCFIjjBiAK0lr6"
"L's Ideology - From ""Death Note""","Gabriele Motta","L's Ideology (From ""Death Note"")","Brani Preferiti Pubblici","Playlist","FR59R2310741","6mYhfQdXeciDzhasHn5bZq"
"The Only Way Out Is Through","The Day We Died","The Only Way Out Is Through","Brani Preferiti Pubblici","Playlist","QZDA72368628","7l7VI4VLRT6ybgqOQqLIgP"
"Monstrosity","Robert Slump","Monstrosity","Brani Preferiti Pubblici","Playlist","GX3Q92342566","6G4Kkw9bx1Hd6WvDS7NRqC"
"Homo Inhabilis","Confine","Homo Inhabilis","Brani Preferiti Pubblici","Playlist","QZTBA2217573","7sCBkaUqxVjgmWkOZEcE7e"
"19.07","Danger","Furi (Original Game Soundtrack)","Brani Preferiti Pubblici","Playlist","FR9W11612109","445Tdyge4wC6Qr7wosq5OY"
